model,category,ratings,color,display,processor,ram,android_version,camera,storage,storage_category,battery,battery_category,price_gbp,price_category,imgURL
SAMSUNG M31s,Phones,4.1,Mirage Blue,AMOLED,not mentioned,8,9,64,128,High Storage,6000,High Battery,238.09,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kdt50nk0/screen-guard/screen-guard/h/h/e/marshland-trt46-original-imafumwfbkwhsg9y.jpeg?q=70
SAMSUNG Galaxy A32,Phones,4.4,Awesome Blue,HD+ AMOLED,Heilo80P,6,9,64,128,High Storage,5000,High Battery,238.09,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kltryq80/mobile/3/d/b/galaxy-a32-sm-a325fzbhins-samsung-original-imagyuy3vgyeuntc.jpeg?q=70
SAMSUNG Galaxy A50,Phones,4.3,White,AMOLED,not mentioned,6,11,25,64,Medium Storage,4000,Medium Battery,228.57,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jsyyufk0/mobile/b/w/f/samsung-galaxy-a50-sm-a505fzwdins-original-imafefghh95xxr6d.jpeg?q=70
SAMSUNG Galaxy A70,Phones,4.4,Blue,other_types,not mentioned,6,10,32,128,High Storage,4500,Medium Battery,294.29,Mid-Range,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/h/d/t/galaxy-a70-128-u-sm-a705gzbhins-samsung-6-original-imaffhmhffzeqkhw.jpeg?q=70
SAMSUNG Galaxy F22,Phones,4.1,Denim Blue,other_types,Heilo80P,6,11,48,128,High Storage,6000,High Battery,128.56,Budget,https://rukminim2.flixcart.com/image/312/312/kqqykcw0/mobile/j/5/7/galaxy-f22-sm-e225flbdins-samsung-original-imag4z99fp4qdfby.jpeg?q=70
SAMSUNG Galaxy M01,Phones,4.2,Black,LCD,Snapdragon(SDM439),3,4,13,32,Low Storage,4000,Medium Battery,85.7,Budget,https://rukminim2.flixcart.com/image/312/312/kavefm80/mobile/x/g/r/samsung-galaxy-m01-sm-m015gzkdins-original-imafscggjk6twbh6.jpeg?q=70
SAMSUNG Galaxy M42,Phones,4.2,Prism Dot Gray,other_types,Snapdragon750GProcessor,8,10,48,128,High Storage,5000,High Battery,180.86,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kpcy5jk0/mobile/w/m/y/galaxy-m42-galaxy-m42-samsung-original-imag3hz5gndhffxn.jpeg?q=70
SAMSUNG Galaxy core prime,Phones,4.1,Milky White,other_types,not mentioned,1,10,5,8,Low Storage,2000,Low Battery,85.7,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/m/3/galaxy-core-prime-sm-g360fzwyinu-samsung-original-imagzyh4jxrdqwbg.jpeg?q=70
SAMSUNG GALAXY M31S,Phones,4.3,Mirage Black,other_types,not mentioned,8,10,64,128,High Storage,6000,High Battery,227.62,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kffq2kw0/mobile/h/3/j/samsung-galaxy-m31s-sm-m317fzkdins-original-imafvweqsfr6uwwm.jpeg?q=70
SAMSUNG Galaxy M21,Phones,4.2,Iceberg Blue,other_types,not mentioned,4,10,48,64,Medium Storage,6000,High Battery,140.71,Budget,https://rukminim2.flixcart.com/image/312/312/kgv5x8w0/mobile/v/t/y/samsung-galaxy-m21-sm-m215flbdins-original-imafxykjnbc2wghg.jpeg?q=70
